,country,economy_overview
0,Afghanistan,"Afghanistan is gradually recovering from decades of conflict. Before 2014, the economy had sustained nearly a decade of strong growth, largely because of international assistance. Since 2014, however, the economy has slowed, in large part because of the withdrawal of nearly 100,000 foreign troops that had artificially inflated the country’s economic growth. Despite improvements in life expectancy, incomes, and literacy since 2001, Afghanistan is extremely poor, landlocked, and highly dependent on foreign aid. Much of the population continues to suffer from shortages of housing, clean water, electricity, medical care, and jobs. Corruption, insecurity, weak governance, lack of infrastructure, and the Afghan Government's difficulty in extending rule of law to all parts of the country pose challenges to future economic growth. Afghanistan's living standards are among the lowest in the world.The international community remains committed to Afghanistan's development, pledging over $83 billion at ten donors' conferences between 2003 and 2016. In October 2016, the donors at the Brussels conference pledged an additional $3.8 billion in development aid annually from 2017 to 2020. Despite this help, the Government of Afghanistan will need to overcome a number of challenges, including low revenue collection, anemic job creation, high levels of corruption, weak government capacity, and poor public infrastructure.In 2016 Afghanistan's growth rate was only marginally above that of 2014 and 2015. The drawdown of international security forces that started in 2012 has negatively affected economic growth, as a substantial portion of commerce, especially in the services sector, has catered to the ongoing international troop presence in the country. Afghan President Ashraf GHANI Ahmadzai is dedicated to instituting economic reforms to include improving revenue collection and fighting corruption. However, the reforms will take time to implement and Afghanistan will remain dependent on international donor support over the next several years."
1,Akrotiri,Economic activity is limited to providing services to the military and their families located in Akrotiri. All food and manufactured goods must be imported.
2,Albania,"Albania, a formerly closed, centrally-planned state, is a developing country with a modern open-market economy. Albania managed to weather the first waves of the global financial crisis but, the negative effects of the crisis caused a significant economic slowdown. Since 2014, Albania’s economy has steadily improved and economic growth is projected to increase to 3.8% in 2017. However, close trade, remittance, and banking sector ties with Greece and Italy make Albania vulnerable to spillover effects of possible debt crises and weak growth in the euro zone.Remittances, a significant catalyst for economic growth, declined from 12-15% of GDP before the 2008 financial crisis to 5.8% of GDP in 2015, mostly from Albanians residing in Greece and Italy. The agricultural sector, which accounts for almost half of employment but only about one-fifth of GDP, is limited primarily to small family operations and subsistence farming, because of a lack of modern equipment, unclear property rights, and the prevalence of small, inefficient plots of land. Complex tax codes and licensing requirements, a weak judicial system, endemic corruption, poor enforcement of contracts and property issues, and antiquated infrastructure contribute to Albania's poor business environment making attracting foreign investment difficult. Since 2015, Albania has launched an ambitious program to increase tax compliance and bring more businesses into the formal economy. In July 2016, Albania passed constitutional amendments reforming the judicial system in order to strengthen the rule of law and to reduce deeply entrenched corruption.Albania’s electricity supply is uneven despite upgraded transmission capacities with neighboring countries. However, the government has recently taken steps to stem non-technical losses and has begun to upgrade the distribution grid. Better enforcement of electricity contracts has improved the financial viability of the sector, decreasing its reliance on budget support. Also, with help from international donors, the government is taking steps to improve the poor road and rail networks, a long standing barrier to sustained economic growth.Inward FDI has increased significantly in recent years as the government has embarked on an ambitious program to improve the business climate through fiscal and legislative reforms. The government is focused on the simplification of licensing requirements and tax codes, and it entered into a new arrangement with the IMF for additional financial and technical support. Albania’s three-year IMF program, an extended fund facility arrangement, was successfully concluded in February 2017. Albania’s 2017 budget aims to reach a small primary surplus, which the Albanian Government plans to achieve by strengthening tax collection amid moderate public wage and pension increases. The country continues to face high public debt, exceeding its former statutory limit of 60% of GDP in 2013 and reaching 71% in 2016."
3,Algeria,"Algeria's economy remains dominated by the state, a legacy of the country's socialist post-independence development model. In recent years the Algerian Government has halted the privatization of state-owned industries and imposed restrictions on imports and foreign involvement in its economy.Hydrocarbons have long been the backbone of the economy, accounting for roughly 30% of GDP, 60% of budget revenues, and nearly 95% of export earnings. Algeria has the 10th-largest reserves of natural gas in the world and is the sixth-largest gas exporter. It ranks 16th in oil reserves. Hydrocarbon exports enabled Algeria to maintain macroeconomic stability and amass large foreign currency reserves while oil prices were high. In addition, Algeria's external debt is extremely low at about 2% of GDP. However, Algeria has struggled to develop non-hydrocarbon industries because of heavy regulation and an emphasis on state-driven growth. Declining oil prices since 2014 have reduced the government’s ability to use state-driven growth to distribute rents and fund generous public subsidies. Algeria’s foreign exchange reserves have declined by more than 40% since late 2013 and its oil stabilization fund has decreased from about $75 billion at the end of 2013 to about $7 billion in 2017, which is the statutory minimum.Algiers has strengthened protectionist measures since 2015 to limit its import bill and encourage domestic production of non-oil and gas industries. Since 2015, the government has imposed additional regulatory requirements on access to foreign exchange for imports and import quotas for specific products, such as cars, to limit their importation. Meanwhile, Algeria has not increased non-hydrocarbon exports, and hydrocarbon exports have declined because of field depletion and increased domestic demand.With declining revenues caused by falling oil prices, the government has been under pressure to reduce spending. A wave of economic protests in February and March 2011 prompted Algiers to offer more than $23 billion in public grants and retroactive salary and benefit increases, moves which continue to weigh on public finances. In 2016, the government increased taxes on electricity and fuel, resulting in a modest increase in gasoline prices, and in 2017 raised by 2% the value-added tax on nearly all products, but has refrained from directly reducing subsidies, particularly for education, healthcare, and housing programs.Long-term economic challenges include diversifying the economy away from its reliance on hydrocarbon exports, bolstering the private sector, attracting foreign investment, and providing adequate jobs for younger Algerians."
4,American Samoa,"American Samoa has a traditional Polynesian economy in which more than 90% of the land is communally owned. Economic activity is strongly linked to the US with which American Samoa conducts most of its commerce. Tuna fishing and tuna processing plants are the backbone of the private sector with canned tuna the primary export. The two tuna canneries accounted for 13.1% of employment in 2013.In late September 2009, an earthquake and the resulting tsunami devastated American Samoa and nearby Samoa, disrupting transportation and power generation, and resulting in about 200 deaths. The US Federal Emergency Management Agency oversaw a relief program of nearly $25 million. Transfers from the US Government add substantially to American Samoa's economic well-being.Attempts by the government to develop a larger and broader economy are restrained by Samoa's remote location, its limited transportation, and its devastating hurricanes. Tourism is a promising developing sector. In 2015, a new fish processing company completed refurbishing the processing facilities left behind by one of the two canneries that closed in 2009 and opened a new cannery. With two operating canneries once again, fish processing and exports will rise in the coming years."
5,Andorra,"Andorra has a developed economy and a free market, with per capita income above the European average and above the level of its neighbors, Spain and France. The country has developed a sophisticated infrastructure including a one-of-a-kind micro-fiber-optic network for the entire country. Tourism, retail sales, and finance are the mainstays of Andorra's small economy, accounting for more than three-quarters of GDP. Andorra's duty-free status for some products and its summer and winter resorts attract millions of visitors annually, although the economic downturn in neighboring countries has curtailed the number of tourists. Andorra uses the euro and is effectively subject to the monetary policy of the European Central Bank. Andorra's comparative advantage as a tax haven eroded when the borders of neighboring France and Spain opened; its bank secrecy laws have been relaxed under pressure from the EU and OECD.Agricultural production is limited - only about 5% of the land is arable - and most food has to be imported, making the economy vulnerable to changes in fuel and food prices. The principal livestock is sheep. Manufacturing output and exports consist mainly of perfumes and cosmetic products, products of the printing industry, electrical machinery and equipment, clothing, tobacco products, and furniture. Andorra is a member of the EU Customs Union and is treated as an EU member for trade in manufactured goods (no tariffs) and as a non-EU member for agricultural products.Andorra is open to, and actively seeking to attract, foreign investment. The Andorran economy is undergoing a process of diversification centered largely on the sectors of tourism, trade, property, and finance. To provide incentives for growth and diversification in the economy, the Andorran government began sweeping economic reforms in 2006. The Parliament approved three laws to complement the first phase of economic openness: on companies (October 2007), on business accounting (December 2007), and on foreign investment (April 2008 and June 2012). From 2011 to 2015, the Parliament also approved direct taxes in the form of taxes on corporations, on individual incomes of residents and non-residents, and on capital gains, savings, and economic activities. These regulations aim to establish a transparent, modern, and internationally comparable regulatory framework.The principal objectives of the economic reform are to attract investment and businesses which can contribute most to Andorra’s economic development, offering greater diversification and contributing higher added value. Prior to 2008, when the first law on investment was approved, Andorra offered limited foreign investment opportunities largely due to concerns about the impact of foreign firms on such a small economy. As a consequence, non-citizens were allowed to own no more than 33% of a company. Only after residing in the country for a minimum of 20 years were foreigners entitled to own 100%."
6,Angola,"Angola's economy is overwhelmingly driven by its oil sector. Oil production and its supporting activities contribute about 50% of GDP, more than 70% of government revenue, and more than 90% of the country's exports. Diamonds contribute an additional 5% to exports. Subsistence agriculture provides the main livelihood for most of the people, but half of the country's food is still imported.Increased oil production supported growth averaging more than 17% per year from 2004 to 2008. A postwar reconstruction boom and resettlement of displaced persons has led to high rates of growth in construction and agriculture as well. Some of the country's infrastructure is still damaged or undeveloped from the 27-year-long civil war. However, the government since 2005 has used billions of dollars in credit from China, Brazil, Portugal, Germany, Spain, and the EU to help rebuild Angola's public infrastructure. Land mines left from the war still mar the countryside, and as a result, the national military, international partners, and private Angolan firms all continue to remove them.The global recession that started in 2008 stalled Angola’s economic growth. In particular, lower prices for oil and diamonds slowed GDP growth to 2.4% in 2009, and many construction projects stopped because Luanda accrued $9 billion in arrears to foreign construction companies when government revenue fell. Angola formally abandoned its currency peg in 2009, and in November 2009 signed onto an IMF Stand-By Arrangement loan of $1.4 billion to rebuild international reserves. Consumer inflation declined from 325% in 2000 to less than 9% in 2014, before rising again in 2015-16.Falling oil prices, the depreciation of the kwanza, and slower than expected growth in non-oil GDP have reduced growth prospects. Corruption, especially in the extractive sectors, is a major long-term challenge that poses an additional threat to the economy. Government spending in the run-up to the 2017 elections is likely to strain Luanda’s budget."
7,Anguilla,"Anguilla has few natural resources, and the economy depends heavily on luxury tourism, offshore banking, lobster fishing, and remittances from emigrants. Increased activity in the tourism industry has spurred the growth of the construction sector contributing to economic growth. Anguillan officials have put substantial effort into developing the offshore financial sector, which is small but growing. In the medium term, prospects for the economy will depend largely on the tourism sector and, therefore, on revived income growth in the industrialized nations as well as on favorable weather conditions."
8,Antarctica,"Scientific undertakings rather than commercial pursuits are the predominant human activity in Antarctica. Offshore fishing and tourism, both based abroad, account for Antarctica's limited economic activity.Antarctic fisheries, targeting three main species - Patagonian and Antarctic toothfish (Dissostichus eleginoides and D. mawsoni), mackerel icefish (Champsocephalus gunnari), and krill (Euphausia superba) – reported landing 295,000 metric tons in 2013-14 (estimated fishing is from the area covered by the Convention on the Conservation of Antarctic Marine Living Resources (CCAMLR), which extends slightly beyond the Antarctic Treaty area). Unregulated fishing, particularly of Patagonian toothfish (also known as Chilean sea bass), is an ongoing problem. The CCAMLR determines the recommended catch limits for marine species.A total of 36,702 tourists visited the Antarctic Treaty area in the 2014-15 Antarctic summer, slightly lower than the 37,405 visitors in 2013-14. These estimates were provided to the Antarctic Treaty by the International Association of Antarctica Tour Operators (IAATO) and do not include passengers on overflights. Nearly all of them were passengers on commercial (nongovernmental) ships and several yachts that make trips during the summer."
9,Antigua and Barbuda,"Tourism continues to dominate Antigua and Barbuda's economy, accounting for nearly 60% of GDP and 40% of investment. The dual-island nation's agricultural production is focused on the domestic market and constrained by a limited water supply and a labor shortage stemming from the lure of higher wages in tourism and construction. Manufacturing comprises enclave-type assembly for export with major products being bedding, handicrafts, and electronic components.Like other countries in the region, Antigua's economy was severely hit by effects of the global economic recession in 2009. The country suffered from the collapse of its largest private sector employer, a steep decline in tourism, a rise in debt, and a sharp economic contraction between 2009 and 2011. Antigua has not yet returned to its pre-crisis growth levels.Prospects for economic growth in the medium term will continue to depend on tourist arrivals from the US, Canada, and Europe and could be disrupted by potential damage from natural disasters. The new government, elected in 2014 and led by Prime Minister Gaston Browne, continues to face significant fiscal challenges. The government places some hope in a new Citizenship by Investment Program to both reduce public debt levels and spur growth."
